"userid","userenabled","title","district","facility","value","occupation","phone_present","biography_present"
4153,1,"Pain Clinic Coordinator","","","","",f,t
4154,0,"","","","","",t,t
4155,1,"VISN 17 Public Affairs Officer","","","","",t,t
4156,0,"Psychology Technician","","","","",t,t
4157,0,"Administrative Officer","","","","",f,t
4158,0,"HUD-VASH Regional Coordinator","","","","",t,t
4159,1,"Traci.Solt@va.gov","","","","",t,t
4160,1,"EXECUTIVE ASSISTANT","","","","",f,t
4161,0,"Registered Nurse","","","","",t,t
4162,0,"Chief, Safety & Emergency Management Service","","","","",f,f
4163,0,"Physician Assistant","","","","",t,t
4164,0,"Registered Nurse","","","","",t,t
4165,0,"Health System Specialist","","","","",t,t
4166,0,"PGY2 Pharmacy Resident","","","","",t,t
4175,1,"","","","","",t,t
4176,1,"Assistant Chief, Prosthetics","","","","",t,t
4177,1,"librarian","","","","",t,t
4178,0,"dental assistant CDA EFDA","","","","",t,t
4179,1,"Manager","","","","",f,t
4180,1,"Associate Director Patient Care Services/Nurse Executive","4","623","VHA – RN: Level V (AES 25)","AES 25",f,f
4181,0,"Program Analyst","","","","",t,t
4182,0,"Acting ACNS","","","","",t,t
4183,1,"Chief, Quality & Performance Management","","","","",t,t
4184,0,"Special Assistant to the Chief of Staff","","","","",t,t
4185,1,"Chief, Quality Management","","","","",t,t
4186,0,"Privacy-FOIA Officer","","","","",t,t
4187,1,"Chief, Dental Service VA St. Louis Health Care System","","","","",t,t
4188,0,"VHA Watch Officer","","","","",t,t
4189,1,"Acting Executive Director, Office of Compliance and Business Integrity","","","","",t,t
4190,0,"PATIENT ADVOCATE","","","","",t,t
4192,1,"Health System Specialist","","","","",t,t
4193,1,"Staff Assistant","","","","",t,t
4194,0,"Acting Assistant Cheif of HAS","","","","",t,t
4195,0,"Network 9 CFO","","","","",t,t
4196,1,"Associate Director","","","","",t,t
4197,1,"Director, Office of Capital Asset Management Engineering and Support","","","","",t,t
4198,1,"Chief, Psychology Service","","","","",f,t
4199,0,"Social Work Executive/Chief","","","","",t,t
4200,1,"Executive Director, Interagency Care and Benefits Coordination","","","","",t,t
4201,0,"Associate Director Facility Support, James A Lovell FHCC","","","","",t,t
4202,0,"Psychometrist","1","613","","",t,t
4203,1,"Network Director","","","","",t,t
4204,0,"RN","","","","",t,t
4209,1,"","","","","",t,t
4210,1,"staff assistant","","","","",t,t
4211,1,"Clinical Program Manager, VHA Homeless Programs","","","","",t,t
4212,1,"HSS","","","","",t,t
4213,0,"Health System Administrator","","","","",t,t
4214,1,"COS, STVHCS","","","","",t,t
4215,1,"AO, Medical Service","","","","",t,t
4216,0,"Executive Assistant","","","","",t,t
4217,0,"Writer","","","","",t,t
4218,0,"Clinical Health Psychologist","","","","",t,t
4219,0,"Instructional System Specialist","","","","",f,t
4220,1,"Program Specialist","3","539","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
4221,1,"VPS Program Analys/ Project Manager","","","","",t,t
4222,1,"Rural Health Education Program Manager","","","","",t,t
4223,1,"Instructional & Game-based Learning Systems & Simulation Design","2","675","VBA – Instructional Systems Specialist (AES 335)","AES 335",f,f
4224,0,"","","","","",t,t
4225,1,"Compliance Officer VISN 10","","","","",t,t
4226,0,"Chief, Learning Resources & Affiliations","","","","",t,t
4227,0,"Program Analyst","","","","",t,t
4228,1,"VERA Coordinator","","","","",t,t
4229,0,"Health System Specialist","","","","",t,t
4230,0,"PACT Social Worker","","","","",t,t
4231,1,"VISN 9 Safety Manager","","","","",t,t
4232,0,"Secretary to the Associate Director","","","","",t,t
4233,1,"","","","","",t,t
4234,0,"VISN 4 MH Lead & NHC","","","","",t,t
4235,0,"Chief, Social WOrk Services","","","","",t,t
4236,0,"","","","","",t,t
4237,1,"Network Homeless Coordinator, Acting","3","10N15","","",t,t
4238,0,"AO/Research","","","","",t,t
4239,1,"Public Affairs Officer","","","","",t,t
4240,0,"IAM BPMO Support","","","","",t,t
4241,1,"Executive Assistant","","","","",f,f
4242,0,"Special Assistant to the Director","","","","",t,t
4243,1,"Director, Sioux Falls VA Health Care System","3","438","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",f,t
4244,0,"HSS to the Deputy Director","","","","",t,t
4245,1,"raymond.chung@va.gov","","","","",f,t
4246,1,"Data Analyst","3","506","OIT – Data Management (DATAMGT) – including data administrator, data analyst, data architect, data storage specialist, data warehouse specialist, database administrator, database developer (AES 204)","AES 204",t,t
4247,1,"RQRT","4","323","","",f,t
4249,1,"Associate Director Nursing and Patient Care Service","","","","",t,t
4250,1,"Executive Secretary","","","","",t,t
4251,1,"PACT Social Worker","","","","",t,t
4252,0,"VISN 1 Knowledge Information Service Director","","","","",t,t
4253,1,"Acting Chief Systems Redesign Service","","","","",t,t
4254,0,"HIMS CHIEF","","","","",t,t
4255,0,"Staff Assistant/Surgery","","","","",t,t
4256,1,"VISN 8 Mental Health Product Line Manager","","","","",f,t
4257,0,"MDRO coordinator","","","","",t,t
4258,1,"Assistant Director","","","","",t,t
4259,1,"VISN 9 Rural Health Coordinator","","","","",t,t
4260,1,"Chief of Prosthetics","","","","",t,t
4261,1,"Associate Director","","","","",t,t
4262,0,"Chief, Library Service","2","516","VHA – Administrative, technical or professional employee at GS-9 through GS-12 (AES 51)","AES 51",f,t
4263,0,"Industrial Engineer","","","","",t,t
4264,1,"","","","","",t,t
4265,1,"","","","","",t,t
4266,0,"ENDODONTIST","","","","",t,t
4267,1,"Chief Consultant","","","","",t,t
4268,1,"registered nurse","","","","",t,t
4269,1,"Acting Associate Director, Clinical Support Services","","","","",t,t
4270,0,"","","","","",t,t
4271,0,"Acting Associate Director","","","","",t,t
4272,1,"Program Specialist","","","","",t,t
4273,1,"Executive Secretary to the Director","","","","",t,t
4274,1,"Secretary to the Director","","","","",t,t
4275,0,"DCOS","","","","",t,t
4276,1,"Chief, Special Projects, VHA National Center for Ethics in Health Care","","","","",t,t
4277,0,"Administrative Support Assistant","","","","",f,t
4278,0,"Capital Asset Manager","","","","",t,t
4279,1,"Chief Financial Officer","","","","",t,t
4280,1,"","","","","",t,t
4281,1,"Secretary ","3","676","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
4282,0,"SECRETARY, ASSOCIATE DIRECTOR","","","","",t,t
4283,0,"","","","","",t,t
4284,0,"VISN 8 Designated Learning Officer","","","","",t,t
4285,1,"Chief, Prosthetics Service","","","","",t,t
4286,0,"VISN 6 Education Service Line Manager/DLO","","","","",t,t
4287,0,"ACOS Education","","","","",t,t
4288,0,"Library Manager","","","","",t,t
4289,1,"Assoc. Chief Officer","","","","",t,t
4290,0,"","","","","",t,t
4291,0,"Dentist","","","","",t,t
4292,0,"HSS","","","","",t,t
4293,1,"","","","","",f,t
4294,0,"Director of VA MedRecon and Patient Med Info Initiative","","","","",t,t
4295,1,"Assistant Director","","","","",t,t
4296,0,"Program Support Assistant","","","","",t,t
4297,1,"Director","","","","",t,t
4298,0,"Secretary","","","","",t,t
4299,1,"","","","","",t,t
4300,0,"Business Manager","","","","",t,t
4301,1,"Executive Assistant","","","","",t,t
4302,1,"Program Manager","","","","",t,t
4303,1,"Staff Development Coordinator","","","","",t,t
4304,0,"Certified Peer Support Specialist","","","","",t,t
4305,1,"Program Analyst","","","","",t,t
4306,0,"Acting AD Rehabilitation Services","","","","",t,t
4307,1,"Chief of Staff","","","","",t,t
4308,0,"Director, Veterans Point of Service (VPS)","","","","",t,t
4309,0,"psychologist","","","","",t,t
4310,1,"APN","","","","",f,t
4311,1,"Associate Medical Center Director VASNHS","","","","",t,t
4312,1,"Program Mgr.","","","","",t,t
4313,1,"Chief Nurse Behavioral Health","","","","",t,t
4314,0,"Assistant Chief, Logistics Service","","","","",t,t
4315,1,"Strategic Planning Officer, VISN 5","","","","",t,t
4316,1,"Acting Medical Center Director","3","583","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",f,t
4317,1,"","","","","",t,t
4318,0,"Nurse Manager","","","","",t,t
4319,1,"National Coordinator, Veterans Justice Outreach","","","","",t,t
4320,0,"Healthcare Education Specialist","","","","",t,t
4321,0,"Psychologist","","","","",t,t
4323,0,"Staff Psychologist","","","","",t,t
4324,0,"Program Analyst","","","","",t,t
4325,0,"VPS, DEPLOYMENT LEAD/IMPLEMENTATION MANAGER","","","","",t,t
4326,0,"HR Officer","3","657A4","","",f,t
4327,0,"HBC","","","","",t,t
4328,0,"","","","","",t,t
4329,0,"","","","","",t,t
4330,1,"Psychologist","","","","",t,t
4331,1,"NP","","","","",t,t
4332,0,"PMHNP-BC, RN","","","","",t,t
4333,0,"Psychiatric Clinical Pharmacist","","","","",t,t
4334,0,"VISN 5 Chief Business Officer","","","","",t,t
4335,0,"Administrative Officer","","","","",t,t
4336,1,"","","","","",t,t
4337,1,"Deputy Director, CEOSH","3","657A0","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
4338,1,"VISN 17 Network Homless Coordinator","","","","",t,t
4339,1,"Women Veterans Program Manager, MSN, BS, RN, CPHN","3","System","","",f,t
4340,0,"PCMHI Social Worker","","","","",t,t
4341,1,"Program Manager Operations","1","101","","",t,t
4342,1,"Deputy Director 10NA7","1","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,f
4343,0,"Associate Director, EES Marketing and Communication","3","","","",f,t
4344,0,"Executive Secretary","","","","",t,t
4345,0,"Medical Center Director","","","","",t,t
4346,0,"APRN, BH","","","","",t,t
4347,0,"LCSW","","","","",t,t
4348,1,"Secretary","","","","",t,t
4349,1,"HR Assistant","1","659","VHA – Human Resources Specialist (AES 74)","AES 74",f,t
4350,1,"Director, Facility Based Care (10NC4)","","","","",t,t
4351,1,"Project Manager","","","","",t,t
4352,1,"National Program Manager","","","","",f,t
4353,1,"National SVH Program Manager","1","101","VHA – Dietitians and Interns (AES 83)","AES 83",f,f
4354,0,"VISN 12 Designated Learning Officer","3","10N12","VHA – Administrative, technical or professional employee GS-13 or GS-14 (AES 52)","AES 52",f,t
4355,0,"Director's Secretary","","","","",t,t
4356,1,"Director, Clinical Programs & Administrative Operations","","","","",t,t
4358,0,"Chief, Pharmacy Service Line","5","678","","",t,t
4359,0,"Registered Nurse","","","","",t,t
4360,1,"MD","","","","",t,t
4361,1,"HBPC RN Case Manager","4","549","VHA – RN: Level III (AES 23)","AES 23",f,t
4363,1,"Interim, Deputy Veterans Experience Officer","1","101","VACO – Management Analyst (AES 424)","AES 424",f,f
4364,0,"Program Analyst","","","","",t,t
4365,1,"Acting Deputy Network Director, VISN 2","1","10N2","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,f
4366,0,"Executive Assistant to Deputy Director Patient Care Services","","","","",t,t
4367,1,"Network Homeless Coordinator","","","","",t,t
4368,0,"Staff Assistant","","","","",t,t
4369,1,"OSH Manager VISN 21","","","","",t,t
4370,0,"Medical Director SAVAHCS Mind-Body Medicine Clinic","","","","",t,t
4371,1,"Compliance Analytics Manager","","","","",t,t
4372,0,"","","","","",t,t
4373,1,"Management Analyst","1","101","VACO – Management Analyst (AES 424)","AES 424",f,f
4374,1,"Chief Learning Officer, Office of Information & Technology","","","","",t,t
4375,1,"Associate Chief of Staff, Extended Care","","","","",t,t
4376,0,"Clinical Psychologist","","","","",t,t
4377,1,"Chief, HAS","","","","",t,t
4378,0,"APRN","","","","",t,t
4379,0,"CNP","","","","",t,t
4380,0,"Nurse Practitioner","","","","",t,t
4381,0,"NP","","","","",t,t
4382,0,"","","","","",t,t
4383,1,"Quality Management Officer","","","","",f,f
4384,0,"MSN, APRN, PMHNP-BC","","","","",t,t
4385,1,"Executive Secretary","","","","",t,t
4386,1,"Chief, Professional Development, Veterans Benefits Administration","","","","",f,t
4387,1,"Associate Chief of Staff for Research","","","","",t,t
4388,0,"Associate Director / Patient Care Service","","","","",t,t
4389,1,"Dr.","","","","",t,t
4390,0,"Assoc. Chief, FMS","","","","",t,t
4391,1,"Health Systems Specialist","","","","",t,t
4392,0,"Public Affairs Officer, VA National Center for Patient Safety","","","","",t,t
4393,0,"Clinical Pharmacist - Pain Management","","","","",t,t
4394,0,"Deputy Network Director","","","","",t,t
4395,0,"Care Manager","","","","",t,t
4396,1,"Assistant Director","","","","",t,t
4398,0,"Associate Director","","","","",t,t
4399,1,"","","","","",t,t
4400,1,"Program Analyst","","","","",t,t
4401,0,"Director Grant and Per Diem National Program Office","","","","",f,t
4402,0,"Executive Assistant","","","","",t,t
4403,1,"Health Systems Specialist","","","","",t,t
4404,0,"Librarian","","","","",t,t
4405,1,"Program Analyst","","","","",t,t
4406,0,"NP, WVPM","","","","",t,t
4407,0,"CNS","","","","",t,t
4408,1,"Pharmacist","","","","",t,t
4409,0,"Chief of Staff","","","","",t,t
4410,1,"Health Systems Specialist","","","","",t,t
4411,0,"VISN Care Coordinator","","","","",t,t
4412,1,"Health System Specialist","5","600","","",t,t
4413,0,"Director","","","","",t,t
4414,0,"Chief of Staff","","","","",f,t
4415,1,"Director's Secretary","5","648","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",f,t
4416,0,"Psychologist","","","","",t,t
4417,1,"Assistant Chief of Sterile Processing Services","","","","",t,t
4418,0,"MHSL Director","","","","",t,t
4419,0,"Supervisory Veterans Service Representative","","","","",t,t
4420,1,"Assistant Veteran Service Center Manager ","1","314","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
4421,1,"Supervisor","","","","",t,t
4422,1,"Coach","","","","",t,t
4423,1,"","1","101","VBA – Program Analyst (AES 354)","AES 354",t,t
4424,0,"Speech Writer","1","394","","",f,t
4425,0,"QRT Coach","","","","",t,t
4426,1,"Chief of Military and Veterans Outreach","1","101","","",t,t
4427,1,"Coach","1","318","","",f,f
4428,1,"RVSR","3","325","VBA – Veterans Service Representative (AES 377)","AES 377",f,t
4429,1,"Coach","","","","",t,t
4430,0,"operations research analyst","","","","",t,t
4432,1,"Division Chief, VR&E","5","354","VBA – Program Manager (AES 355)","AES 355",f,f
4433,0,"Coach - Fiduciary (Field Examiners)","","","","",t,t
4435,0,"Senior Program Analyst","1","101","","",f,t
4436,1,"Supervisory Lead Analyst National Work Queue","1","101","VBA – Management Assistant (AES 348)","AES 348",f,t
4437,0,"Coach","","","","",t,t
4438,1,"Coach, St. Paul Regional Office","","","","",f,t
4439,0,"Supervisory Veterans Service Representative","","","","",t,t
4440,0,"Supervisory Veterans Claims Examiner","","","","",t,t
4441,1,"Public Affairs Specialist","","","","",t,t
4442,1,"Coach","","","","",t,t
4444,0,"Program Analyst","1","101","","",f,t
4445,1,"Pension Analyst","3","330","VBA – Veteran Claims Examiners (AES 372)","AES 372",f,f
4446,0,"","1","101","VBA – Program Analyst (AES 354)","AES 354",t,t
4447,0,"Coach","","","","",t,t
4448,1,"Lead Operations Analyst, Program Operations (214A)","1","101","VBA – Veteran Claims Examiners (AES 372)","AES 372",f,t
4449,0,"MHC PSA","","","","",t,t
4450,0,"Program Director Home Telehealth","","","","",t,t
4451,0,"Associate Director","","","","",t,t
4452,0,"Supervisory Health Systems Specialist","","","","",t,t
4453,0,"Administrative Officer","","","","",t,t
4454,0,"Clinic Manager","","","","",t,t
4455,1,"Assistant Chief, Psychology","","","","",t,t
4456,1,"VISN 10 HSS","","","","",t,t
4457,1,"Accrediation Specialist Performance Management","1","528A5","","",t,t
4458,0,"Secretary to the Director","","","","",t,t
4459,1,"Chief, Pharmacy","","","","",t,t
4460,1,"Chief Operating Officer, VISN 8","","","","",t,t
4461,0,"RN","","","","",t,t
4462,0,"Deputy Director (Acting), Veterans Rural Health Resource Center-Eastern Region","1","0100V","","",f,f
4463,0,"Psychology Resident","","","","",t,t
4464,0,"NP Nurse Manager","","","","",t,t
4465,1,"Director's Management Analyst","4","350","VBA – Management Analyst (AES 347)","AES 347",f,f
4466,0,"Primary Care Program Manager","","","","",t,t
4467,0,"Social Worker/PC-MHI Care Manager","","","","",t,t
4468,1,"PACT Program Coordinator","1","637","VHA – RN: Level II (AES 22)","AES 22",f,t
4469,0,"Clinical Program Analyst","","","","",t,t
4470,1,"WHS Deputy Field Director","","","","",t,t
4471,1,"HPDP Program Manager/Patient Centered Care Coordinator VISN 16 MOVE! Coordinator","4","502","VHA – Dietitians and Interns (AES 83)","AES 83",f,t
4472,0,"chief care coordination center","","","","",t,t
4473,0,"Administrative Officer","","","","",t,t
4474,1,"VA/DoD Liaison & Staff Assistant to Chief Administration Officer","","","","",f,t
4475,0,"Chief Engineer","","","","",t,t
4476,0,"Administrative Officer","","","","",t,t
4477,0,"Administrative Officer","","","","",t,t
4478,1,"Associate Director","","","","",t,t
4479,0,"Health Promotion Disease Prevention Program Manager","","","","",t,t
4485,1,"National Project Manager","","","","",t,t
4486,0,"National Transformational Coach Captain","","","","",t,t
4487,1,"VISN 9 Utilization Management Officer","","","","",t,t
4488,1,"Education Program Specialist","","","","",t,t
4489,0,"Engineering Manager","","","","",t,t
4490,1,"CBOC Director","","","","",f,t
4491,1,"Executive Assistant, Office of the Associate Director, Outpatient Operations","","","","",f,t
4492,0,"Physician","","","","",t,t
4493,0,"Facility Strategic Planner","","","","",f,t
4494,0,"","","","","",t,t
4495,0,"","","","","",t,t
4496,0,"Chief Nurse, Activations","","","","",t,t
4497,1,"Dr","","","","",t,t
4498,0,"Lead Program Support Assistant","","","","",t,t
4499,1,"Insurance Specialist","","","","",t,t
4500,1,"Program Analyst","","","","",f,f
4501,1,"Management & Program Analyst","1","101","","",f,f
4502,1,"Public Affairs Specialist","1","","","",f,f
4503,1,"Management and Program Analyst","","","","",f,t
4504,0,"Loan Specialist","","","","",f,t
4505,1,"Assistant Coach","","","","",t,t
4506,1,"Program Analyst","1","101","","",f,t
4507,1,"Program Analyst","","","","",t,t
4508,1,"Program Analyst - Quality & Training","2","319","","",t,t
4509,1,"Coach","","320","VBA – Veterans Service Representative (AES 377)","AES 377",f,f
4510,1,"Program Analyst","1","101","VBA – Program Analyst (AES 354)","AES 354",f,t
4511,1,"Coach","","","","",t,t
4512,1,"Assistant Coach","","","","",t,t
4513,1,"","","","","",t,t
4514,1,"VSR","","","","",f,t
4515,1,"Assistant Coach- PMC","","","","",t,t
4516,1,"Assistant Coach","","","","",t,t
4517,1,"Assistant Coach","","","","",f,t
4518,1,"Assistant Coach","","","","",t,t
4519,1,"Assistant Coach","5","345","VBA – Veterans Service Representative (AES 377)","AES 377",t,t
4520,1,"FINANCIAL ADMINISTRATIVE SPECIALIST","","","","",t,t
4521,0,"RVSR","","","","",f,t
4522,1,"Management Analyst","","","","",f,f
4523,1,"Management Analyst","","","","",t,t
4524,0,"Vocational Rehabilitation Counselor","","","","",f,f
4525,0,"Rating Veterans Service Representative (RVSR)","","","","",t,t
4526,1,"Change Management Agent","","","","",f,t
4527,0,"Authorization Quality Review Specialist","","","","",f,f
4528,1,"Training Manager","3","325","","",t,t
4529,1,"Coach, Supervisory Position","","","","",t,t
4530,0,"","","","","",t,t
4531,1,"SVSR","","","","",t,t
4532,1,"Management Analyst","","","","",f,f
4533,1,"Assistant Coach","","","","",f,t
4534,1,"","","","","",t,t
4535,1,"PACT/Patient Centered Care Coordinator","","","","",t,t
4536,0,"Interior Designer","","","","",t,t
4537,1,"Director, SCI/D Informatics","","","","",t,f
4538,1,"Communications Specialist","","","","",t,t
4539,0,"Communications Specialist","","","","",t,t
4540,1,"Executive Secretary","","","","",t,t
4541,0,"","","","","",f,t
4542,1,"Facilities Coordinator","","","","",t,t
4543,0,"Administrative Officer","","","","",t,t
4544,0,"Associate Director","","","","",t,t
4545,0,"Program Manager","","","","",t,t
4546,1,"Director, Cost Estimating Service","","","","",t,t
4547,1,"Physician","","","","",t,t
4548,0,"Architect","","","","",t,t
4549,0,"RN Assistant Nurse Manager PC3","","","","",t,t
4550,0,"Secretary","","","","",t,t
4551,0,"CBOC Operations Manager","","","","",t,t
4552,0,"","","","","",t,t
4553,0,"Chief of Operations, MSN V","","","","",t,t
4554,1,"Staff Assist to HCS Director","","","","",t,t
4555,0,"Section Chief for Primary Care","","","","",t,t
4556,1,"secretary","","","","",t,t
4557,1,"Secretary","","","","",t,t
4558,0,"SECRETARY","","","","",t,t
4559,1,"MCBOC Nurse Manager","4","667","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",t,t
4560,0,"Chief Nurse-PCS, Ambulatory Care","","","","",t,t
4561,0,"Health Behavior Coordinator","","","","",f,t
4562,0,"Nurse Manager","","","","",t,t
4565,0,"mary.a-boateng@va.gov","","","","",t,t
4567,0,"Nurse Manager","","","","",t,t
4568,0,"Nurse Manager","","","","",t,t
4570,1,"Program Analyst","1","101","","",t,t
4571,1,"Program Analyst","1","101","VBA – Management & Program Analyst (AES 346)","AES 346",f,f
4572,1,"Chief of Staff","3","702","VACO – Program Analyst/Program Management Specialist (AES 430)","AES 430",f,t
4573,0,"Clinic/Nurse Manager","","","","",t,t
4575,0,"Assistant Operations Manager","","","","",t,t
4576,0,"Program Director, Adult Day Health Care","","","","",t,t
4577,0,"Acting Administrative Officer","","","","",t,t
4578,0,"Health Systems Specialist","","","","",t,t
4579,0,"","","","","",t,t
4580,0,"","","","","",t,t
4581,0,"Chief of Pharmacy, VAME HCS","","","","",f,t
4582,1,"Program Analyst","1","101","OIT – Program Analyst – including Program Analyst, Program Management Specialist (AES 222)","AES 222",t,f
4583,0,"CBOC Supervisor, Erie VAMC","","","","",t,t
4584,1,"Assistant Director","5","605","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
4585,0,"PCMHI Program Coordinator","","","","",t,t
4586,0,"Admin CBOC Hattiesburg MS","","","","",t,t
4587,0,"SW Chief","","","","",t,t
4588,1,"Chief Of Staff","","","","",t,t
4589,0,"Analyst","","","","",t,t
4590,0,"Management Analyst","","","","",f,t
4591,0,"Lead Program Analyst","","","","",f,t
4592,1,"VISN Secretary","","","","",t,t
4593,0,"Fire Protection Program Manager","","","","",f,t
4594,1,"","","","","",t,t
4595,1,"Coach, Cleveland Regional Office","","","","",t,t
4596,0,"","","","","",t,t
4597,0,"Administrative Officer","","","","",t,t
4598,0,"VISN 5 FQAM","","","","",t,t
4599,0,"VSR","","","","",t,t
4600,1,"HEALTH PROMOTION PROGRAM MANAGER","","","","",t,t
4601,0,"Emergency Management Specialist","","","","",t,t
4602,0,"MRS.","","","","",t,t
4603,1,"Director, Office of Business Oversight","","","","",f,t
4604,1,"Heartland Network Clinical Program Leader","","","","",t,t
4605,0,"Contracting Liaison","","","","",t,t
4606,0,"Business Manager","","","","",t,t
4607,0,"Administrative Support Assistant","","","","",t,t
4608,1,"BOPC Site Manager","","","","",t,t
4609,0,"","","","","",t,t
4610,1,"","","","","",t,t
4611,0,"Nurse Manager","","","","",t,t
4612,0,"East Bay Operations Manager","","","","",t,t
4613,0,"Firm Manager","","","","",t,t
4614,1,"Management Analyst","2","320","VBA – Management & Program Analyst (AES 346)","AES 346",f,f
4615,0,"QRT","","","","",t,t
4617,1,"Director, VHA National Call Center - Health Resource Center","","","","",t,t
4618,0,"Senior Industrial Hygienist","","","","",t,t
4619,0,"Nurse Manager","","","","",t,t
4620,0,"Interior Designer","","","","",t,t
4621,0,"Associate Director","","","","",t,t
4622,0,"RVSR","","","","",t,t
4623,0,"ACNS PACT","","","","",t,t
4624,1,"Health System Specialist","","","","",t,t
4625,1,"Director Clinical Strategic Planning and Measurement","","","","",t,t
4628,0,"Chief Nursing Officer","","","","",f,f
4630,1,"Director, Workforce and Leadership","5","101","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",t,t
4631,0,"Assistant Director","","","","",t,t
4632,0,"chief, primary care","","","","",t,t
4633,1,"DIRECTOR","","","","",t,t
4634,0,"Director, National Infectious Diseases Service","","","","",t,t
4635,1,"Rating Consultant","","","","",t,f
4636,1,"VISN 8 Communication Manager","","","","",t,t
4637,1,"Secretary to the Health Care System Director","3","437","","",t,t
4638,0,"OEF/OIF/OND Transition Patient Advocate","","","","",t,t
4639,0,"Registered Dietitian","","","","",t,t
4640,0,"Chief of Police","","","","",t,t
4641,0,"Deputy Chief","","","","",t,t
4642,0,"VHA OEM Area Emergency Manager","","","","",t,t
4643,0,"Secretary","","","","",t,t
4644,0,"TCM Case Manager","","","","",t,t
4645,1,"Director, Fargo VA HCS","","","","",t,t
4646,1,"VISN 17 PBM Clinical Pharmacy Specialist","","","","",t,t
4647,0,"","","","","",t,t
4648,0,"Engineering technician","","","","",t,t
4649,0,"","","","","",t,t
4650,1,"Assoc. Chief of Staff for Amb Care","","","","",f,f
4651,1,"Supply Systems Analyst","","","","",t,t
4652,1,"Health Systems Specialist VISN 22","3","10N22","","",t,f
4653,0,"Health System Specialist","","","","",t,t
4654,1,"VSR","","","","",t,t
4655,1,"Chief, Quality Management","","","","",t,t
4656,1,"Acting Secretary to the Director","","","","",t,t
4657,0,"Chief, Health Informatics Service, Chief Health Informatics Officer","","","","",t,t
4658,0,"Project Engineer","","","","",t,t
4659,1,"Assistant Under Secretary for Health for Dentistry","1","101","","",f,t
4660,1,"Secretary to the Associate Director","","","","",f,t
4661,1,"Director, Dental Informatics and Analytics (10NC7)","","","","",t,t
4662,1,"Chief, Clinical Excellence (Quality)","","","","",t,t
4663,0,"Primary Care Section Chief","","","","",t,t
4664,1,"Administrative Assistant to the Director","","","","",t,t
4665,0,"Executive Assistant","","","","",t,t
4666,0,"Executive Secretary","","","","",t,t
4667,0,"Director, NPOSP","","","","",t,t
4668,0,"Chief, Physical Medicine and Rehabilitation Service","","","","",t,t
4669,1,"HR Specialist (Classification)","5","10N18","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
4670,0,"Chief of Police","","","","",t,t
4671,0,"Aspire National Program Manager","","","","",t,t
4672,0,"Network Logistic Officer","","","","",t,t
4673,1,"","","","","",t,t
4674,0,"Infection Control Nurse","","","","",t,t
4675,1,"VISN 15 QMO","","","","",t,t
4676,1,"Business Director/Clinical Program","2","485","","",t,t
4677,0,"Safety Officer","","","","",t,t
4678,1,"VISN 22 Energy Manager","5","618","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,f
4679,0,"IT Specialist","","","","",t,f
4680,1,"Program Mgmt","","","","",t,t
4681,1,"Health Systems Specialist","","","","",t,t
4682,1,"Staff Assistant, Assistant to the Director","","","","",t,t
4683,1,"Communications Specialist","","","","",t,t
4684,0,"Supervisor Patient safety/Risk Management","","","","",f,f
4685,1,"Program Manager Industrial Hygiene","1","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,f
4686,0,"MD","","","","",t,t
4687,0,"VISN 18 IH/GEMS Program Manager","","","","",t,t
4688,1,"Medical Center Director","","","","",t,t
4689,0,"Program Support Assistant/Local PIV Official","","","","",t,t
4690,1,"VISN 12 Compliance Officer","","","","",t,t
4691,1,"Secretary","","","","",t,t
4692,1,"CMO","","","","",t,t
4693,0,"Nurse Practitioner","","","","",t,t
4694,0,"Chief, Nutrition and Food Services","","","","",t,t
4695,0,"VISN 4 CLO","","","","",t,t
4696,0,"Staff Assistant to Medical Center Director","","","","",t,t
4697,1,"Area Emergency Manager","5","531","","",f,t
4698,0,"Public Affairs Officer - Miami VAHS","","","","",t,t
4699,0,"Chief, Nursing Education","","","","",t,t
4700,0,"Program Specialist","","","","",t,t
4701,0,"Chief Medical Officer","","","","",t,t
4702,0,"RN Care Coordinator","","","","",t,t
